Size,QuickSort,IntroSort
500,3037.6,566
600,3730.8,684
700,4274.8,822.8
800,4882,902.4
900,5493.8,1049
1000,6187.4,1107.8
1100,6838.6,1271.4
1200,7371.8,1414.4
1300,7983.6,1512.6
1400,8534.8,1577.8
1500,9196.8,1656.6
1600,9793.8,1830.8
1700,10437.8,1958.6
1800,11044.4,2059.6
1900,11549.8,2160.4
2000,12239.6,2264
2100,12685.2,2419
2200,13251,2556.2
2300,13867.4,2585.2
2400,15030,2781.6
2500,15375.8,2946.4
2600,15940.4,3026.6
2700,16463.8,3116.6
2800,17120.4,3133
2900,17808.8,3357
3000,18283.4,3409.4
3100,18844,3517.6
3200,19996,3730.4
3300,20155.8,3816.6
3400,21022.4,3926.8
3500,21617,4088
3600,21923.8,4143.8
3700,22432.2,4171.2
3800,22996.6,4342.4
3900,23697.4,4432.2
4000,24340.6,4601.8
4100,24762.2,4876.8
4200,26004.8,4963
4300,26361.4,4940.4
4400,26785.8,5021.4
4500,27233,5085.6
4600,28147.8,5289.6
4700,28469.8,5343
4800,29438.4,5526
4900,30048.2,5689.2
5000,30906.8,5722.8
5100,31279.6,5853.8
5200,31388.8,5935.8
5300,31929,6037.8
5400,32719.2,6186
5500,33605.8,6376
5600,35317.6,6490
5700,34820.6,6561.8
5800,39734.2,6622.8
5900,36257.8,6739.6
6000,36947,6854.2
6100,36788.2,6902.4
6200,37194.2,6975
6300,37963,7214.4
6400,38202,7317.6
6500,39405.4,7603
6600,40529.8,7571.2
6700,40817.4,7642.8
6800,41406.4,7772.2
6900,43511.8,8006.4
7000,42767,8141.6
7100,42889.8,7993.4
7200,43753.8,8140.2
7300,44614.2,8442.6
7400,45319.2,8526.6
7500,46291,8649
7600,46098.8,8740.2
7700,51127.6,13810.6
7800,48161.8,9122.4
7900,48698.2,9232.2
8000,54552,9365.8
8100,55603.6,9485.6
8200,50275.2,9587.4
8300,50429.2,9500.6
8400,51096,9578.6
8500,51647.6,9683
8600,53157.8,10019.4
8700,53362.8,10029
8800,53947.6,10223
8900,54864.2,10428.4
9000,55534.6,10655.2
9100,55254.8,10413.2
9200,56006.2,10622.4
9300,56959.4,10640.8
9400,57480.2,10934
9500,58514.8,11075.2
9600,58628.2,11033
9700,59122.4,11162.8
9800,61008.4,11352
9900,60716,11667.4
10000,61523.8,11635.8
