Size,QuickSort,IntroSort
500,3074.8,552.4
600,3678.2,687.6
700,4279.8,822.2
800,4898.6,920.2
900,5589,1099.2
1000,6136.4,1158.8
1100,7544,1290.6
1200,7416.6,1385.8
1300,8007.4,1534.4
1400,8651.6,1641.8
1500,9229.4,1762.4
1600,9821.6,1888.4
1700,10611.4,2060.2
1800,16276,2088.2
1900,11715,2240.2
2000,12387,2312.4
2100,12863.6,2429.8
2200,13421,2542
2300,13921.2,2662.8
2400,14714.4,2952.4
2500,15519.4,2985
2600,15993.8,3080
2700,16632.8,3149.2
2800,17138.2,3377.2
2900,17942.6,3403.8
3000,18722.2,3591.2
3100,18946.4,3691.6
3200,19632.8,3787.6
3300,20503.2,3859.2
3400,20949,3959.4
3500,21786.2,4091.4
3600,22228.4,4266.6
3700,22647.4,4314.4
3800,24256.4,4576.4
3900,24072,4555.4
4000,24700.8,4751.8
4100,25411.8,4832.4
4200,26847.6,4987.6
4300,26801.2,5074.6
4400,27152.8,5194.6
4500,27603,5379.4
4600,28664.6,5350.6
4700,29455,5553
4800,30103.2,5591
4900,30703.4,5878
5000,31026.8,5853.2
5100,31500.6,6132.4
5200,32061,6161
5300,32671.4,6242.6
5400,33173.8,6338.4
5500,34271.6,6569.2
5600,35032.2,6817.6
5700,35706,6861.8
5800,35962.2,7055.4
5900,36983.4,7076
6000,37372,7215.4
6100,37830,7218
6200,38273,7205.8
6300,38711.2,7386.2
6400,38769,7404.2
6500,40460,7582.4
6600,41582.6,7954.6
6700,42202,8062
6800,42288.8,7939.8
6900,44684.6,8284.2
7000,44112.2,8588.8
7100,44039,8401
7200,44941.2,8503
7300,46046.6,8709.2
7400,46997.6,8812.6
7500,47462.2,9061
7600,48019.6,9030.2
7700,48503.8,9380.8
7800,50291.4,9351
7900,50182,9584.2
8000,51235.8,9692.8
8100,51910.4,10003.2
8200,51894.2,9829
8300,52511.2,10043.4
8400,53377.2,10173.4
8500,53511.8,10052.2
8600,54606.4,10302.4
8700,55010.4,10446.6
8800,56072.8,10582.2
8900,56935.4,10620.2
9000,58123.6,10788.8
9100,57259,10696.8
9200,58359.4,10920.4
9300,59521.8,11195.8
9400,60407.2,11276.4
9500,60571.4,11721.8
9600,61038.6,11677.8
9700,61311.4,11467.4
9800,63560.2,11776.8
9900,63878,12136.2
10000,64605.8,12074.6
