Size,QuickSort,IntroSort
500,3048.4,559.6
600,3829.2,663.2
700,4275.8,793.8
800,4981.2,879.8
900,5565.4,988.4
1000,6115.4,1155
1100,7440.2,1230
1200,7364,1338.8
1300,7986.4,1511.4
1400,8541.2,1595.6
1500,9219.4,1722.8
1600,9842.2,1797.8
1700,10437.8,1937.2
1800,11049.8,2065.2
1900,11630.2,2223
2000,12197,2293.8
2100,12684.2,2435.6
2200,13230.8,2467.6
2300,13915.8,2611
2400,14719.2,2724.2
2500,15505.4,2915
2600,15943.4,3014
2700,16530,3089.6
2800,17171.2,3230
2900,17729.8,3357.2
3000,18331.6,3391.2
3100,18715.2,3577.2
3200,19461,3619.6
3300,20076.8,3758.4
3400,20890,3896
3500,21496.8,4076.4
3600,22143,4137.8
3700,22630.4,4287
3800,23201.6,4233.6
3900,23721.2,4535
4000,24509,4643.4
4100,24714,4606.6
4200,26448,5002.8
4300,26475.6,4924
4400,26804.4,5060.4
4500,26996.8,5168
4600,28130,5215
4700,28563.2,5353.4
4800,29470.4,5599.8
4900,30222.6,5687.8
5000,30565.4,5883.2
5100,30949.2,5990
5200,31521.2,5929.2
5300,32016.6,5944.4
5400,32702.2,6153.8
5500,33775.4,6413.8
5600,35631.8,6510
5700,34768.2,6640.8
5800,35229.6,6774.6
5900,36195.2,6807.8
6000,36422.8,7020.2
6100,36687,6976.2
6200,37563.2,7023.8
6300,37777.4,7259.8
6400,38559,7292.4
6500,39586.8,7483.8
6600,40308.2,7619.4
6700,41146.6,7761.6
6800,41416.2,7719.8
6900,44291,8100
7000,42648,8051.8
7100,42765.2,8183.8
7200,43906,8238.8
7300,44847.8,8505.6
7400,45147,8557
7500,46144.4,8856.6
7600,46436.4,8847.2
7700,47553.4,10733
7800,48267.2,9029.8
7900,48691.4,9342
8000,49344,9283.2
8100,50012.6,9588.4
8200,55873,9577.6
8300,50588,9836.8
8400,53302.8,9641
8500,51559.2,9715
8600,52625.8,10066
8700,57268.8,10180.6
8800,54103.2,10258
8900,54929.8,10509.4
9000,55400.4,10552.4
9100,55508.6,10447.6
9200,57830.4,10611
9300,56973.6,10769.6
9400,57328.4,10888.4
9500,58010.8,11140.4
9600,58164.8,11047.2
9700,58834.6,11320.8
9800,60414.6,11394.6
9900,60796.8,11530.2
10000,61508.6,11697.2
